id,name,artist,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0YmtUsb9xSvC9NoanOHqYD,"Goldberg Variations, BWV 988: Var. 24, Canone all'ottava",Johann Sebastian Bach,26,classical,0.139,0.00724,7,-30.125,1,0.0378,0.989,0.5175,0.126,0.176,67.286,194827,3
3lTJBv2k8rAo9wGdsySgV9,"Chorale Preludes: No. 4, Allein Gott in der Höh sei Ehr, BWV 717",Johann Sebastian Bach,25,classical,0.131,0.00756,5,-30.854,0,0.0378,0.969,0.5175,0.121,0.219,91.297,251947,4
46ePXhsiW9KudpoVbAF4MI,"St. John Passion, BWV 245, Pt. 2: No. 22, Durch dein Gefängnis, Gottes Sohn",Johann Sebastian Bach,23,classical,0.146,0.077,10,-24.622,1,0.0394,0.993,0.5175,0.107,0.135,148.281,72613,3
7c4qhKg3u8tZgwgDiiWpjn,"Goldberg Variations, BWV 988: Var. 23",Johann Sebastian Bach,26,classical,0.101,0.0526,7,-29.059,1,0.0476,0.986,0.5175,0.381,0.247,80.471,150627,3
2WDsd5LEs5z1Q0cSVfTwDh,"Goldberg Variations, BWV 988: Var. 27, Canone alla nona",Johann Sebastian Bach,27,classical,0.26,0.0753,4,-30.415,0,0.0336,0.992,0.5175,0.199,0.391,67.722,123773,4
3nV7DN6aiL2Lbw710hKUdE,"Prelude & Fugue in C Minor, BWV 546: Fugue",Johann Sebastian Bach,26,classical,0.14,0.173,1,-17.933,0,0.0321,0.595,0.5175,0.0678,0.0656,101.951,412960,4
1XxDTtjZwZoqwijTBnrAZn,"St. John Passion, BWV 245, Pt. 2: No. 25, Allda kreuzigten sie ihn - Der Jüden König - Pilatus antwortet",Johann Sebastian Bach,23,classical,0.422,0.134,2,-20.077,1,0.066,0.929,0,0.115,0.269,128.225,121147,4
5h7NdCTB3UzQ7LDDEPTI04,"St. John Passion, BWV 245, Pt. 2: No. 26, In meines Herzens Grunde",Johann Sebastian Bach,23,classical,0.111,0.0715,2,-21.785,1,0.0419,0.99,0.5175,0.113,0.11,175.999,65533,1
2OkJsdwKfOVvwsFcI8kO3g,"St. John Passion, BWV 245, Pt. 2: No. 27, Die Kriegsknechte aber - Auf daß erfüllet würde die Schrift",Johann Sebastian Bach,23,classical,0.428,0.178,11,-21.778,1,0.0721,0.95,0.000002,0.129,0.214,127.784,219907,3
6wRaP25HKWvCg4DCy2uhLb,"St. John Passion, BWV 245, Pt. 2: No. 30, Es ist vollbracht",Johann Sebastian Bach,23,classical,0.23,0.0285,10,-25.39,0,0.0463,0.968,0.000992,0.105,0.0972,103.137,312627,3
